cadence,x,y
,1,1
95497,4206.605035,2050.182608
95498,4206.584522,2050.189637
95499,4206.570246,2050.218265
95500,4206.527385,2050.219854
95501,4206.529486,2050.196207
95502,4206.529108,2050.200989
95503,4206.570652,2050.243592
95504,4206.516454,2050.209881
95505,4206.471971,2050.209113
95506,4206.520529,2050.277070
95507,4206.473732,2050.253627
95508,4206.477539,2050.255513
95509,4206.524506,2050.321272
95510,4206.472612,2050.274847
95511,4206.462558,2050.276019
95512,4206.456962,2050.276738
95513,4206.494908,2050.258543
95514,4206.488869,2050.306441
95515,4206.442113,2050.272328
95516,4206.441370,2050.290801
95517,4206.389358,2050.254417
95518,4206.466192,2050.351221
95519,4206.437360,2050.312715
95520,4206.440194,2050.386232
95521,4206.375819,2050.337089
95522,4206.314334,2050.364918
95523,4206.327681,2050.376739
95524,4206.313083,2050.376118
95525,4206.611634,2050.637861
95526,4206.581613,2050.638184
95527,4206.585034,2050.726116
95528,4206.411407,2050.440730
95529,4206.370266,2050.410256
95530,4206.349792,2050.387212
95531,4206.200952,2050.318417
95532,4206.073790,2050.321147
95533,4206.073238,2050.389275
95534,4206.134966,2050.387486
95535,4206.047046,2050.385977
95536,4206.109956,2050.249059
95537,4206.117736,2050.280215
95538,4206.070955,2050.519863
95539,4206.125202,2050.563165
95540,4206.117879,2050.590455
95541,4206.089684,2050.602987
95542,4206.020120,2050.474184
95543,4206.081263,2050.453053
95544,4206.071726,2050.553933
95545,4206.079029,2050.573412
95546,4205.500211,2049.280121
95547,4204.517116,2048.430702
95548,4204.434984,2048.390389
95549,4204.458274,2048.412674
95550,4204.470235,2048.460239
95551,4204.426933,2048.420770
95552,4204.446207,2048.431603
95553,4204.436785,2048.414487
95554,4205.348887,2048.168065
95555,4205.314233,2047.871850
95556,4205.286219,2047.871090
95557,4205.291991,2047.901503
95558,4205.282105,2047.868879
95559,4205.457022,2048.122635
95560,4205.428594,2048.001842
95561,4205.383728,2048.229560
95562,4205.383539,2048.031243
95563,4205.528352,2048.319991
95564,4205.481282,2048.121495
95565,4205.487439,2048.021242
95566,4205.272475,2047.895966
95567,4205.338387,2047.908220
95568,4205.494919,2048.412151
95569,4205.295665,2047.934156
95570,4205.386858,2048.003662
95571,4205.325656,2047.906452
95572,4205.361614,2047.986059
95573,4205.353640,2047.926802
95574,4205.354337,2048.964833
95575,4205.024163,2049.066939
95576,4205.288586,2047.909502
95577,4205.445552,2048.406242
95578,4205.287793,2047.914528
95579,4205.465512,2048.225976
95580,4205.418883,2048.203735
95581,4205.464699,2048.190535
95582,4205.567704,2048.259556
95583,4205.532523,2048.489342
95584,4205.413744,2048.465632
95585,4205.175512,2048.682700
95586,4205.131200,2048.739119
95587,4205.002248,2048.985402
95588,4205.219387,2048.768043
95589,4205.469356,2048.446813
95591,4205.786894,2048.928271
95592,4205.740272,2049.022151
95593,4205.763549,2049.181473
95594,4205.574895,2048.662610
95595,4205.662308,2048.734225
95596,4205.276271,2048.187449
95597,4205.653166,2048.684721
95598,4205.580135,2048.754884
95599,4205.160962,2048.050781
95600,4205.191600,2048.111425
95601,4205.268964,2048.093398
95602,4205.265485,2048.089465
95603,4205.156566,2048.007244
95604,4205.175922,2048.080289
95605,4205.157501,2048.099004
95606,4205.159326,2048.014358
95607,4205.131265,2047.984217
95608,4205.101868,2048.070234
95609,4205.153182,2048.008497
95610,4205.133475,2047.993899
95611,4205.148694,2048.058258
95612,4205.144918,2048.000265
95613,4205.148852,2048.040121
95614,4205.138565,2048.045626
95615,4205.150120,2048.033554
95616,4205.165504,2048.010618
95617,4205.171941,2048.026342
95618,4205.187643,2048.031460
95619,4205.231444,2048.054498
95620,4205.401778,2048.139836
95621,4205.414436,2048.075433
95622,4205.406677,2048.248488
95623,4205.317676,2047.911089
95624,4205.485508,2048.480342
95625,4205.346426,2047.945039
95626,4205.439017,2048.058482
95627,4205.518188,2048.419540
95628,4204.831735,2048.735435
95629,4205.201534,2048.813603
95630,4205.416978,2047.876554
95631,4204.825803,2048.915230
95632,4205.410204,2047.940217
95633,4205.410742,2047.906179
95634,4205.399087,2047.964644
95635,4205.442380,2047.912599
95636,4205.492572,2047.944176
95637,4205.518060,2047.907777
95638,4205.537833,2047.934514
95639,4205.575313,2047.892173
95640,4205.589726,2047.890096
95641,4205.578968,2047.955063
95642,4205.628725,2047.857549
95643,4205.629538,2047.913157
95644,4205.684343,2047.827632
95645,4205.674274,2047.780991
95646,4205.641338,2047.702906
95647,4205.725329,2047.656365
95648,4205.736909,2047.778789
95649,4205.747401,2047.761912
95650,4205.797620,2047.747105
95651,4205.799111,2047.751432
95652,4205.805463,2047.757151
95653,4205.817992,2047.664521
95654,4205.837533,2047.693723
95655,4205.850299,2047.771719
95656,4205.837234,2047.720094
95657,4205.858941,2047.738046
95658,4205.895686,2047.700464
95659,4205.901594,2047.681717
