cadence,t,flux,x,y
91434,2456810.26273,0.0,0.0,0.0
91435,2456810.28316,0.0,0.0,0.0
91436,2456810.30359,0.0,0.0,0.0
91437,2456810.32403,0.0,0.0,0.0
91438,2456810.34446,0.0,0.0,0.0
91439,2456810.36489,0.0,0.0,0.0
91440,2456810.38532,0.0,0.0,0.0
91441,2456810.40576,0.0,0.0,0.0
91442,2456810.42619,0.0,0.0,0.0
91443,2456810.44662,0.0,0.0,0.0
91444,2456810.46705,0.0,0.0,0.0
91445,2456810.48749,0.0,0.0,0.0
91446,2456810.50792,0.0,0.0,0.0
91447,2456810.52835,0.0,0.0,0.0
91448,2456810.54878,0.0,0.0,0.0
91449,2456810.56921,0.0,0.0,0.0
91450,2456810.58965,0.0,0.0,0.0
91451,2456810.61008,0.0,0.0,0.0
91452,2456810.63051,0.0,0.0,0.0
91453,2456810.65094,0.0,0.0,0.0
91454,2456810.67138,0.0,0.0,0.0
91455,2456810.69181,0.0,0.0,0.0
91456,2456810.71224,0.0,0.0,0.0
91457,2456810.73267,0.0,0.0,0.0
91458,2456810.75311,0.0,0.0,0.0
91459,2456810.77354,0.0,0.0,0.0
91460,2456810.79397,0.0,0.0,0.0
91461,2456810.8144,0.0,0.0,0.0
91462,2456810.83484,0.0,0.0,0.0
91463,2456810.85527,0.0,0.0,0.0
91464,2456810.8757,0.0,0.0,0.0
91465,2456810.89613,0.0,0.0,0.0
91467,2456810.937,0.0,0.0,0.0
91468,2456810.95743,0.0,0.0,0.0
91469,2456810.97786,0.0,0.0,0.0
91470,2456810.99829,0.0,0.0,0.0
91471,2456811.01873,0.0,0.0,0.0
91472,2456811.03916,0.0,0.0,0.0
91473,2456811.05959,0.0,0.0,0.0
91474,2456811.08002,0.0,0.0,0.0
91475,2456811.10046,0.0,0.0,0.0
91476,2456811.12089,0.0,0.0,0.0
91477,2456811.14132,0.0,0.0,0.0
91478,2456811.16175,0.0,0.0,0.0
91479,2456811.18218,0.0,0.0,0.0
91480,2456811.20262,0.0,0.0,0.0
91481,2456811.22305,0.0,0.0,0.0
91482,2456811.24348,0.0,0.0,0.0
91483,2456811.26391,0.0,0.0,0.0
91484,2456811.28435,0.0,0.0,0.0
91485,2456811.30478,0.0,0.0,0.0
91486,2456811.32521,0.0,0.0,0.0
91487,2456811.34564,0.0,0.0,0.0
91488,2456811.36608,0.0,0.0,0.0
91489,2456811.38651,0.0,0.0,0.0
91490,2456811.40694,0.0,0.0,0.0
91491,2456811.42737,0.0,0.0,0.0
91492,2456811.44781,0.0,0.0,0.0
91494,2456811.48867,0.0,0.0,0.0
91495,2456811.5091,0.0,0.0,0.0
91496,2456811.52953,0.0,0.0,0.0
91497,2456811.54997,0.0,0.0,0.0
91498,2456811.5704,0.0,0.0,0.0
91499,2456811.59083,0.0,0.0,0.0
91500,2456811.61126,0.0,0.0,0.0
91501,2456811.6317,0.0,0.0,0.0
91502,2456811.65213,0.0,0.0,0.0
91503,2456811.67256,0.0,0.0,0.0
91504,2456811.69299,0.0,0.0,0.0
91505,2456811.71343,0.0,0.0,0.0
91506,2456811.73386,0.0,0.0,0.0
91508,2456811.77472,0.0,0.0,0.0
91509,2456811.79515,0.0,0.0,0.0
91510,2456811.81559,0.0,0.0,0.0
91511,2456811.83602,0.0,0.0,0.0
91512,2456811.85645,0.0,0.0,0.0
91513,2456811.87688,0.0,0.0,0.0
91515,2456811.91775,0.0,0.0,0.0
91516,2456811.93818,0.0,0.0,0.0
91517,2456811.95861,0.0,0.0,0.0
91518,2456811.97905,0.0,0.0,0.0
91519,2456811.99948,0.0,0.0,0.0
91520,2456812.01991,0.0,0.0,0.0
91522,2456812.06077,0.0,0.0,0.0
91523,2456812.08121,0.0,0.0,0.0
91524,2456812.10164,0.0,0.0,0.0
91525,2456812.12207,0.0,0.0,0.0
91526,2456812.1425,0.0,0.0,0.0
91527,2456812.16294,0.0,0.0,0.0
91528,2456812.18337,0.0,0.0,0.0
91529,2456812.2038,0.0,0.0,0.0
91530,2456812.22423,0.0,0.0,0.0
91531,2456812.24467,0.0,0.0,0.0
91532,2456812.2651,0.0,0.0,0.0
91534,2456812.30596,0.0,0.0,0.0
91535,2456812.3264,0.0,0.0,0.0
91537,2456812.36726,0.0,0.0,0.0
91538,2456812.38769,0.0,0.0,0.0
91539,2456812.40812,0.0,0.0,0.0
91540,2456812.42856,0.0,0.0,0.0
91541,2456812.44899,0.0,0.0,0.0
91543,2456812.48985,0.0,0.0,0.0
91544,2456812.51029,0.0,0.0,0.0
91545,2456812.53072,0.0,0.0,0.0
91546,2456812.55115,0.0,0.0,0.0
91547,2456812.57158,0.0,0.0,0.0
91548,2456812.59202,0.0,0.0,0.0
91549,2456812.61245,0.0,0.0,0.0
91550,2456812.63288,0.0,0.0,0.0
91551,2456812.65331,0.0,0.0,0.0
91552,2456812.67374,0.0,0.0,0.0
91553,2456812.69418,0.0,0.0,0.0
91554,2456812.71461,0.0,0.0,0.0
91555,2456812.73504,0.0,0.0,0.0
91556,2456812.75547,0.0,0.0,0.0
91557,2456812.77591,0.0,0.0,0.0
91558,2456812.79634,0.0,0.0,0.0
91559,2456812.81677,0.0,0.0,0.0
91560,2456812.8372,0.0,0.0,0.0
91561,2456812.85763,0.0,0.0,0.0
91563,2456812.8985,0.0,0.0,0.0
91564,2456812.91893,0.0,0.0,0.0
91565,2456812.93936,0.0,0.0,0.0
91566,2456812.9598,0.0,0.0,0.0
91567,2456812.98023,0.0,0.0,0.0
91568,2456813.00066,0.0,0.0,0.0
91569,2456813.02109,0.0,0.0,0.0
91570,2456813.04153,0.0,0.0,0.0
91571,2456813.06196,0.0,0.0,0.0
91572,2456813.08239,0.0,0.0,0.0
91573,2456813.10282,0.0,0.0,0.0
91574,2456813.12325,0.0,0.0,0.0
91575,2456813.14369,0.0,0.0,0.0
91576,2456813.16412,0.0,0.0,0.0
91577,2456813.18455,0.0,0.0,0.0
91578,2456813.20498,0.0,0.0,0.0
91579,2456813.22542,0.0,0.0,0.0
91580,2456813.24585,0.0,0.0,0.0
91581,2456813.26628,0.0,0.0,0.0
91582,2456813.28671,0.0,0.0,0.0
91583,2456813.30715,0.0,0.0,0.0
91584,2456813.32758,0.0,0.0,0.0
91585,2456813.34801,0.0,0.0,0.0
91586,2456813.36844,0.0,0.0,0.0
91587,2456813.38887,0.0,0.0,0.0
91588,2456813.40931,0.0,0.0,0.0
91590,2456813.45017,0.0,0.0,0.0
91591,2456813.4706,0.0,0.0,0.0
91592,2456813.49104,0.0,0.0,0.0
91593,2456813.51147,0.0,0.0,0.0
91594,2456813.5319,0.0,0.0,0.0
91595,2456813.55233,0.0,0.0,0.0
91596,2456813.57276,0.0,0.0,0.0
91597,2456813.5932,0.0,0.0,0.0
91598,2456813.61363,0.0,0.0,0.0
91599,2456813.63406,0.0,0.0,0.0
91600,2456813.65449,0.0,0.0,0.0
91601,2456813.67493,0.0,0.0,0.0
91602,2456813.69536,0.0,0.0,0.0
91603,2456813.71579,0.0,0.0,0.0
91604,2456813.73622,0.0,0.0,0.0
91605,2456813.75666,0.0,0.0,0.0
91606,2456813.77709,0.0,0.0,0.0
91607,2456813.79752,0.0,0.0,0.0
91608,2456813.81795,0.0,0.0,0.0
91609,2456813.83838,0.0,0.0,0.0
91610,2456813.85882,0.0,0.0,0.0
91611,2456813.87925,0.0,0.0,0.0
91612,2456813.89968,0.0,0.0,0.0
91613,2456813.92011,0.0,0.0,0.0
91614,2456813.94055,0.0,0.0,0.0
91615,2456813.96098,0.0,0.0,0.0
91616,2456813.98141,0.0,0.0,0.0
91618,2456814.02228,0.0,0.0,0.0
91619,2456814.04271,0.0,0.0,0.0
91620,2456814.06314,0.0,0.0,0.0
91621,2456814.08357,0.0,0.0,0.0
91622,2456814.104,0.0,0.0,0.0
91623,2456814.12444,0.0,0.0,0.0
91624,2456814.14487,0.0,0.0,0.0
91625,2456814.1653,0.0,0.0,0.0
91626,2456814.18573,0.0,0.0,0.0
91627,2456814.20617,0.0,0.0,0.0
91628,2456814.2266,0.0,0.0,0.0
91629,2456814.24703,0.0,0.0,0.0
91630,2456814.26746,0.0,0.0,0.0
91631,2456814.28789,0.0,0.0,0.0
91632,2456814.30833,0.0,0.0,0.0
91633,2456814.32876,0.0,0.0,0.0
91634,2456814.34919,0.0,0.0,0.0
91635,2456814.36962,0.0,0.0,0.0
91636,2456814.39006,0.0,0.0,0.0
91637,2456814.41049,0.0,0.0,0.0
91638,2456814.43092,0.0,0.0,0.0
91639,2456814.45135,0.0,0.0,0.0
91640,2456814.47178,0.0,0.0,0.0
91641,2456814.49222,0.0,0.0,0.0
91642,2456814.51265,0.0,0.0,0.0
91646,2456814.59438,0.0,0.0,0.0
91647,2456814.61481,0.0,0.0,0.0
91648,2456814.63524,0.0,0.0,0.0
91649,2456814.65568,0.0,0.0,0.0
91650,2456814.67611,0.0,0.0,0.0
91651,2456814.69654,0.0,0.0,0.0
91652,2456814.71697,0.0,0.0,0.0
91653,2456814.7374,0.0,0.0,0.0
91654,2456814.75784,0.0,0.0,0.0
91655,2456814.77827,0.0,0.0,0.0
91656,2456814.7987,0.0,0.0,0.0
91657,2456814.81913,0.0,0.0,0.0
91658,2456814.83957,0.0,0.0,0.0
91659,2456814.86,0.0,0.0,0.0
91660,2456814.88043,0.0,0.0,0.0
91661,2456814.90086,0.0,0.0,0.0
91662,2456814.92129,0.0,0.0,0.0
91663,2456814.94173,0.0,0.0,0.0
91664,2456814.96216,0.0,0.0,0.0
91665,2456814.98259,0.0,0.0,0.0
91666,2456815.00302,0.0,0.0,0.0
91667,2456815.02346,0.0,0.0,0.0
91668,2456815.04389,0.0,0.0,0.0
91669,2456815.06432,0.0,0.0,0.0
91670,2456815.08475,0.0,0.0,0.0
91671,2456815.10518,0.0,0.0,0.0
91672,2456815.12562,0.0,0.0,0.0
91673,2456815.14605,0.0,0.0,0.0
91674,2456815.16648,0.0,0.0,0.0
91675,2456815.18691,0.0,0.0,0.0
91676,2456815.20735,0.0,0.0,0.0
91677,2456815.22778,0.0,0.0,0.0
91678,2456815.24821,0.0,0.0,0.0
91679,2456815.26864,0.0,0.0,0.0
91680,2456815.28907,0.0,0.0,0.0
91681,2456815.30951,0.0,0.0,0.0
91682,2456815.32994,0.0,0.0,0.0
91683,2456815.35037,0.0,0.0,0.0
91684,2456815.3708,0.0,0.0,0.0
91685,2456815.39124,0.0,0.0,0.0
91686,2456815.41167,0.0,0.0,0.0
91687,2456815.4321,0.0,0.0,0.0
91688,2456815.45253,0.0,0.0,0.0
91689,2456815.47296,0.0,0.0,0.0
91690,2456815.4934,0.0,0.0,0.0
91691,2456815.51383,0.0,0.0,0.0
91692,2456815.53426,0.0,0.0,0.0
91693,2456815.55469,0.0,0.0,0.0
91694,2456815.57513,0.0,0.0,0.0
91695,2456815.59556,0.0,0.0,0.0
91696,2456815.61599,0.0,0.0,0.0
91697,2456815.63642,0.0,0.0,0.0
91698,2456815.65686,0.0,0.0,0.0
91699,2456815.67729,0.0,0.0,0.0
91700,2456815.69772,0.0,0.0,0.0
91701,2456815.71815,0.0,0.0,0.0
91702,2456815.73858,0.0,0.0,0.0
91703,2456815.75902,0.0,0.0,0.0
91704,2456815.77945,0.0,0.0,0.0
91705,2456815.79988,0.0,0.0,0.0
91706,2456815.82031,0.0,0.0,0.0
91707,2456815.84075,0.0,0.0,0.0
91708,2456815.86118,0.0,0.0,0.0
91709,2456815.88161,0.0,0.0,0.0
91710,2456815.90204,0.0,0.0,0.0
91711,2456815.92247,0.0,0.0,0.0
91712,2456815.94291,0.0,0.0,0.0
91714,2456815.98377,0.0,0.0,0.0
91715,2456816.0042,0.0,0.0,0.0
91716,2456816.02464,0.0,0.0,0.0
91717,2456816.04507,0.0,0.0,0.0
91719,2456816.08593,0.0,0.0,0.0
91720,2456816.10636,0.0,0.0,0.0
91721,2456816.1268,0.0,0.0,0.0
91722,2456816.14723,0.0,0.0,0.0
91723,2456816.16766,0.0,0.0,0.0
91724,2456816.18809,0.0,0.0,0.0
91725,2456816.20853,0.0,0.0,0.0
91726,2456816.22896,0.0,0.0,0.0
91727,2456816.24939,0.0,0.0,0.0
