cadence,x,y
,1,1
91332,1,1
91333,1,1
91334,1,1
91335,1,1
91336,1,1
91337,1,1
91338,1,1
91339,1,1
91340,1,1
91341,1,1
91342,1,1
91343,1,1
91344,1,1
91345,1,1
91346,1,1
91347,1,1
91348,1,1
91349,1,1
91350,1,1
91351,1,1
91352,1,1
91353,1,1
91354,1,1
91355,1,1
91356,1,1
91357,1,1
91358,1,1
91359,1,1
91360,1,1
91361,1,1
91362,1,1
91363,1,1
91364,1,1
91365,1,1
91366,1,1
91367,1,1
91368,1,1
91369,1,1
91370,1,1
91371,1,1
91372,1,1
91373,1,1
91374,1,1
91375,1,1
91376,1,1
91377,1,1
91378,1,1
91379,1,1
91380,1,1
91381,1,1
91382,1,1
91383,1,1
91384,1,1
91385,1,1
91386,1,1
91387,1,1
91388,1,1
91389,1,1
91390,1,1
91391,1,1
91392,1,1
91393,1,1
91394,1,1
91395,1,1
91396,1,1
91397,1,1
91398,1,1
91399,1,1
91400,1,1
91401,1,1
91402,1,1
91403,1,1
91404,1,1
91405,1,1
91406,1,1
91407,1,1
91408,1,1
91409,1,1
91410,1,1
91411,1,1
91412,1,1
91413,1,1
91414,1,1
91415,1,1
91416,1,1
91417,1,1
91418,1,1
91419,1,1
91420,1,1
91421,1,1
91422,1,1
91423,1,1
91424,1,1
91425,1,1
91426,1,1
91427,1,1
91428,1,1
91429,1,1
91430,1,1
91431,1,1
91432,1,1
91433,1,1
91434,1,1
91435,1,1
91436,1,1
91437,1,1
91438,1,1
91439,1,1
91440,1,1
91441,1,1
91442,1,1
91443,1,1
91444,1,1
91445,1,1
91446,1,1
91447,1,1
91448,1,1
91449,1,1
91450,1,1
91451,1,1
91452,1,1
91453,1,1
91454,1,1
91455,1,1
91456,1,1
91457,1,1
91458,1,1
91459,1,1
91460,1,1
91461,1,1
91462,1,1
91463,1,1
91464,1,1
91465,1,1
91466,1,1
91467,1,1
91468,1,1
91469,1,1
91470,1,1
91471,1,1
91472,1,1
91473,1,1
91474,1,1
91475,1,1
91476,1,1
91477,1,1
91478,1,1
91479,1,1
91480,1,1
91481,1,1
91482,1,1
91483,1,1
91484,1,1
91485,1,1
91486,1,1
91487,1,1
91488,1,1
91489,1,1
91490,1,1
91491,1,1
91492,1,1
91493,1,1
91494,1,1
91495,1,1
91496,1,1
91497,1,1
91498,1,1
91499,1,1
91500,1,1
91501,1,1
91502,1,1
91503,1,1
91504,1,1
91505,1,1
91506,1,1
91507,1,1
91508,1,1
91509,1,1
91510,1,1
91511,1,1
91512,1,1
91513,1,1
91514,1,1
91515,1,1
91516,1,1
91517,1,1
91518,1,1
91519,1,1
91520,1,1
91521,1,1
91522,1,1
91523,1,1
91524,1,1
91525,1,1
91526,1,1
91527,1,1
91528,1,1
91529,1,1
91530,1,1
91531,1,1
91532,1,1
91533,1,1
91534,1,1
91535,1,1
91536,1,1
91537,1,1
91538,1,1
91539,1,1
91540,1,1
91541,1,1
91542,1,1
91543,1,1
91544,1,1
91545,1,1
91546,1,1
91547,1,1
91548,1,1
91549,1,1
91550,1,1
91551,1,1
91552,1,1
91553,1,1
91554,1,1
91555,1,1
91556,1,1
91557,1,1
91558,1,1
91559,1,1
91560,1,1
91561,1,1
91562,1,1
91563,1,1
91564,1,1
91565,1,1
91566,1,1
91567,1,1
91568,1,1
91569,1,1
91570,1,1
91571,1,1
91572,1,1
91573,1,1
91574,1,1
91575,1,1
91576,1,1
91577,1,1
91578,1,1
91579,1,1
91580,1,1
91581,1,1
91582,1,1
91583,1,1
91584,1,1
91585,1,1
91586,1,1
91587,1,1
91588,1,1
91589,1,1
91590,1,1
91591,1,1
91592,1,1
91593,1,1
91594,1,1
91595,1,1
91596,1,1
91597,1,1
91598,1,1
91599,1,1
91600,1,1
91601,1,1
91602,1,1
91603,1,1
91604,1,1
91605,1,1
91606,1,1
91607,1,1
91608,1,1
91609,1,1
91610,1,1
91611,1,1
91612,1,1
91613,1,1
91614,1,1
91615,1,1
91616,1,1
91617,1,1
91618,1,1
91619,1,1
91620,1,1
91621,1,1
91622,1,1
91623,1,1
91624,1,1
91625,1,1
91626,1,1
91627,1,1
91628,1,1
91629,1,1
91630,1,1
91631,1,1
91632,1,1
91633,1,1
91634,1,1
91635,1,1
91636,1,1
91637,1,1
91638,1,1
91639,1,1
91640,1,1
91641,1,1
91642,1,1
91643,1,1
91644,1,1
91645,1,1
91646,1,1
91647,1,1
91648,1,1
91649,1,1
91650,1,1
91651,1,1
91652,1,1
91653,1,1
91654,1,1
91655,1,1
91656,1,1
91657,1,1
91658,1,1
91659,1,1
91660,1,1
91661,1,1
91662,1,1
91663,1,1
91664,1,1
91665,1,1
91666,1,1
91667,1,1
91668,1,1
91669,1,1
91670,1,1
91671,1,1
91672,1,1
91673,1,1
91674,1,1
91675,1,1
91676,1,1
91677,1,1
91678,1,1
91679,1,1
91680,1,1
91681,1,1
91682,1,1
91683,1,1
91684,1,1
91685,1,1
91686,1,1
91687,1,1
91688,1,1
91689,1,1
91690,1,1
91691,1,1
91692,1,1
91693,1,1
91694,1,1
91695,1,1
91696,1,1
91697,1,1
91698,1,1
91699,1,1
91700,1,1
91701,1,1
91702,1,1
91703,1,1
91704,1,1
91705,1,1
91706,1,1
91707,1,1
91708,1,1
91709,1,1
91710,1,1
91711,1,1
91712,1,1
91713,1,1
91714,1,1
91715,1,1
91716,1,1
91717,1,1
91718,1,1
91719,1,1
91720,1,1
91721,1,1
91722,1,1
91723,1,1
91724,1,1
91725,1,1
91726,1,1
91727,1,1
91728,1,1
91729,1,1
91730,1,1
91731,1,1
91732,1,1
91733,1,1
91734,1,1
91735,1,1
91736,1,1
91737,1,1
91738,1,1
91739,1,1
91740,1,1
91741,1,1
91742,1,1
91743,1,1
91744,1,1
91745,1,1
91746,1,1
91747,1,1
91748,1,1
91749,1,1
91750,1,1
91751,1,1
91752,1,1
91753,1,1
91754,1,1
91755,1,1
91756,1,1
91757,1,1
91758,1,1
91759,1,1
91760,1,1
91761,1,1
91762,1,1
91763,1,1
91764,1,1
91765,1,1
91766,1,1
91767,1,1
91768,1,1
91769,1,1
91770,1,1
91771,1,1
91772,1,1
91773,1,1
91774,1,1
91775,1,1
91776,1,1
91777,1,1
91778,1,1
91779,1,1
91780,1,1
91781,1,1
91782,1,1
91783,1,1
91784,1,1
91785,1,1
91786,1,1
91787,1,1
91788,1,1
91789,1,1
91790,1,1
91791,1,1
91792,1,1
91793,1,1
91794,1,1
91795,1,1
91796,1,1
91797,1,1
91798,1,1
91799,1,1
91800,1,1
91801,1,1
91802,1,1
91803,1,1
91804,1,1
91805,1,1
91806,1,1
91807,1,1
91808,1,1
91809,1,1
91810,1,1
91811,1,1
91812,1,1
91813,1,1
91814,1,1
91815,1,1
91816,1,1
91817,1,1
91818,1,1
91819,1,1
91820,1,1
91821,1,1
91822,1,1
91823,1,1
91824,1,1
91825,1,1
91826,1,1
91827,1,1
91828,1,1
91829,1,1
91830,1,1
91831,1,1
91832,1,1
91833,1,1
91834,1,1
91835,1,1
91836,1,1
91837,1,1
91838,1,1
91839,1,1
91840,1,1
91841,1,1
91842,1,1
91843,1,1
91844,1,1
91845,1,1
91846,1,1
91847,1,1
91848,1,1
91849,1,1
91850,1,1
91851,1,1
91852,1,1
91853,1,1
91854,1,1
91855,1,1
91856,1,1
91857,1,1
91858,1,1
91859,1,1
91860,1,1
91861,1,1
91862,1,1
91863,1,1
91864,1,1
91865,1,1
91866,1,1
91867,1,1
91868,1,1
91869,1,1
91870,1,1
91871,1,1
91872,1,1
91873,1,1
91874,1,1
91875,1,1
91876,1,1
91877,1,1
91878,1,1
91879,1,1
91880,1,1
91881,1,1
91882,1,1
91883,1,1
91884,1,1
91885,1,1
91886,1,1
91887,1,1
91888,1,1
91889,1,1
91890,1,1
91891,1,1
91892,1,1
91893,1,1
91894,1,1
91895,1,1
91896,1,1
91897,1,1
91898,1,1
91899,1,1
91900,1,1
91901,1,1
91902,1,1
91903,1,1
91904,1,1
91905,1,1
91906,1,1
91907,1,1
91908,1,1
91909,1,1
91910,1,1
91911,1,1
91912,1,1
91913,1,1
91914,1,1
91915,1,1
91916,1,1
91917,1,1
91918,1,1
91919,1,1
91920,1,1
91921,1,1
91922,1,1
91923,1,1
91924,1,1
91925,1,1
91926,1,1
91927,1,1
91928,1,1
91929,1,1
91930,1,1
91931,1,1
91932,1,1
91933,1,1
91934,1,1
91935,1,1
91936,1,1
91937,1,1
91938,1,1
91939,1,1
91940,1,1
91941,1,1
91942,1,1
91943,1,1
91944,1,1
91945,1,1
91946,1,1
91947,1,1
91948,1,1
91949,1,1
91950,1,1
91951,1,1
91952,1,1
91953,1,1
91954,1,1
91955,1,1
91956,1,1
91957,1,1
91958,1,1
91959,1,1
91960,1,1
91961,1,1
91962,1,1
91963,1,1
91964,1,1
91965,1,1
91966,1,1
91967,1,1
91968,1,1
91969,1,1
91970,1,1
91971,1,1
91972,1,1
91973,1,1
91974,1,1
91975,1,1
91976,1,1
91977,1,1
91978,1,1
91979,1,1
91980,1,1
91981,1,1
91982,1,1
91983,1,1
91984,1,1
91985,1,1
91986,1,1
91987,1,1
91988,1,1
91989,1,1
91990,1,1
91991,1,1
91992,1,1
91993,1,1
91994,1,1
91995,1,1
91996,1,1
91997,1,1
91998,1,1
91999,1,1
92000,1,1
92001,1,1
92002,1,1
92003,1,1
92004,1,1
92005,1,1
92006,1,1
92007,1,1
92008,1,1
92009,1,1
92010,1,1
92011,1,1
92012,1,1
92013,1,1
92014,1,1
92015,1,1
92016,1,1
92017,1,1
92018,1,1
92019,1,1
92020,1,1
92021,1,1
92022,1,1
92023,1,1
92024,1,1
92025,1,1
92026,1,1
92027,1,1
92028,1,1
92029,1,1
92030,1,1
92031,1,1
92032,1,1
92033,1,1
92034,1,1
92035,1,1
92036,1,1
92037,1,1
92038,1,1
92039,1,1
92040,1,1
92041,1,1
92042,1,1
92043,1,1
92044,1,1
92045,1,1
92046,1,1
92047,1,1
92048,1,1
92049,1,1
92050,1,1
92051,1,1
92052,1,1
92053,1,1
92054,1,1
92055,1,1
92056,1,1
92057,1,1
92058,1,1
92059,1,1
92060,1,1
92061,1,1
92062,1,1
92063,1,1
92064,1,1
92065,1,1
92066,1,1
92067,1,1
92068,1,1
92069,1,1
92070,1,1
92071,1,1
92072,1,1
92073,1,1
92074,1,1
92075,1,1
92076,1,1
92077,1,1
92078,1,1
92079,1,1
92080,1,1
92081,1,1
92082,1,1
92083,1,1
92084,1,1
92085,1,1
92086,1,1
92087,1,1
92088,1,1
92089,1,1
92090,1,1
92091,1,1
92092,1,1
92093,1,1
92094,1,1
92095,1,1
92096,1,1
92097,1,1
92098,1,1
92099,1,1
92100,1,1
92101,1,1
92102,1,1
92103,1,1
92104,1,1
92105,1,1
92106,1,1
92107,1,1
92108,1,1
92109,1,1
92110,1,1
92111,1,1
92112,1,1
92113,1,1
92114,1,1
92115,1,1
92116,1,1
92117,1,1
92118,1,1
92119,1,1
92120,1,1
92121,1,1
92122,1,1
92123,1,1
92124,1,1
92125,1,1
92126,1,1
92127,1,1
92128,1,1
92129,1,1
92130,1,1
92131,1,1
92132,1,1
92133,1,1
92134,1,1
92135,1,1
92136,1,1
92137,1,1
92138,1,1
92139,1,1
92140,1,1
92141,1,1
92142,1,1
92143,1,1
92144,1,1
92145,1,1
92146,1,1
92147,1,1
92148,1,1
92149,1,1
92150,1,1
92151,1,1
92152,1,1
92153,1,1
92154,1,1
92155,1,1
92156,1,1
92157,1,1
92158,1,1
92159,1,1
92160,1,1
92161,1,1
92162,1,1
92163,1,1
92164,1,1
92165,1,1
92166,1,1
92167,1,1
92168,1,1
92169,1,1
92170,1,1
92171,1,1
92172,1,1
92173,1,1
92174,1,1
92175,1,1
92176,1,1
92177,1,1
92178,1,1
92179,1,1
92180,1,1
92181,1,1
92182,1,1
92183,1,1
92184,1,1
92185,1,1
92186,1,1
92187,1,1
92188,1,1
92189,1,1
92190,1,1
92191,1,1
92192,1,1
92193,1,1
92194,1,1
92195,1,1
92196,1,1
92197,1,1
92198,1,1
92199,1,1
92200,1,1
92201,1,1
92202,1,1
92203,1,1
