cadence,x,y
,1,1
95497,1023.555171,934.910409
95498,1023.537179,934.898721
95499,1023.529390,934.903091
95500,1023.522898,934.911820
95501,1023.503072,934.909500
95502,1023.488547,934.922174
95503,1023.485417,934.919056
95504,1023.468571,934.915549
95505,1023.459015,934.913589
95506,1023.465282,934.926051
95507,1023.456709,934.923221
95508,1023.448984,934.920321
95509,1023.445608,934.934929
95510,1023.436077,934.925362
95511,1023.431318,934.924966
95512,1023.418239,934.935149
95513,1023.425404,934.924814
95514,1023.421777,934.930440
95515,1023.412396,934.928557
95516,1023.407809,934.930103
95517,1023.396901,934.921700
95518,1023.401344,934.921770
95519,1023.392957,934.924975
95520,1023.382067,934.937182
95521,1023.358324,934.931489
95522,1023.326530,934.938774
95523,1023.323551,934.939072
95524,1023.319935,934.939562
95525,1023.343887,934.954744
95526,1023.330463,934.955985
95527,1023.312400,934.980785
95528,1023.295667,934.942622
95529,1023.284798,934.918217
95530,1023.257917,934.917604
95531,1023.223765,934.918792
95532,1023.190373,934.920585
95533,1023.178867,934.928042
95534,1023.172280,934.927313
95535,1023.151583,934.926234
95536,1023.161558,934.911979
95537,1023.161278,934.908566
95538,1023.150694,934.942151
95539,1023.149160,934.945613
95540,1023.138336,934.949694
95541,1023.133085,934.955327
95542,1023.117747,934.938916
95543,1023.122843,934.943782
95544,1023.114276,934.956069
95545,1023.114238,934.960929
95546,1022.382880,933.840262
95547,1021.537069,932.733750
95548,1021.507814,932.736657
95549,1021.513880,932.728487
95550,1021.514658,932.744214
95551,1021.501125,932.737272
95552,1021.504042,932.733388
95553,1021.501339,932.728422
95554,1022.183003,932.777588
95555,1022.271695,932.748369
95556,1022.268031,932.741437
95557,1022.269895,932.749386
95558,1022.263655,932.741133
95559,1022.274445,932.771923
95560,1022.270153,932.755117
95561,1022.260070,932.786703
95562,1022.257931,932.764081
95563,1022.285149,932.794917
95564,1022.276984,932.769232
95565,1022.279330,932.760183
95566,1022.239284,932.741434
95567,1022.256244,932.739712
95568,1022.274969,932.810122
95569,1022.263791,932.745160
95570,1022.282209,932.755803
95571,1022.274627,932.743555
95572,1022.275705,932.761152
95573,1022.277583,932.746876
95574,1022.214748,932.872660
95575,1022.200220,932.883476
95576,1022.262382,932.743957
95577,1022.256780,932.816116
95578,1022.262102,932.750598
95579,1022.296581,932.782765
95580,1022.288159,932.782415
95581,1022.295708,932.788678
95582,1022.314063,932.791719
95583,1022.305078,932.836533
95584,1022.273003,932.832036
95585,1022.237378,932.865047
95586,1022.260196,932.830624
95587,1022.238353,932.876546
95588,1022.250408,932.875975
95589,1022.287196,932.830155
95591,1022.069760,932.857939
95592,1022.090752,932.899830
95593,1022.101694,932.910996
95594,1022.069627,932.839524
95595,1022.089024,932.859102
95596,1022.034914,932.769815
95597,1022.085528,932.859936
95598,1022.080972,932.862910
95599,1022.044658,932.754105
95600,1022.055644,932.768409
95601,1022.082507,932.762007
95602,1022.084728,932.757833
95603,1022.083196,932.756509
95604,1022.081770,932.766249
95605,1022.083607,932.770589
95606,1022.090045,932.762251
95607,1022.092907,932.759208
95608,1022.099892,932.764058
95609,1022.104206,932.771394
95610,1022.109574,932.769622
95611,1022.117245,932.767258
95612,1022.131507,932.757535
95613,1022.119067,932.762556
95614,1022.116580,932.770517
95615,1022.129299,932.771529
95616,1022.138045,932.765940
95617,1022.146347,932.770049
95618,1022.151616,932.775608
95619,1022.176495,932.770680
95620,1022.215332,932.780093
95621,1022.242487,932.780981
95622,1022.237059,932.803668
95623,1022.241204,932.762514
95624,1022.262129,932.833982
95625,1022.268474,932.770809
95626,1022.289829,932.787608
95627,1022.303710,932.830932
95628,1022.234215,932.837720
95629,1022.245450,932.874629
95630,1022.331050,932.773521
95631,1022.218480,932.883143
95632,1022.341873,932.773249
95633,1022.346050,932.776279
95634,1022.342346,932.781676
95635,1022.352404,932.777834
95636,1022.383611,932.776789
95637,1022.402111,932.773698
95638,1022.415581,932.777733
95639,1022.428430,932.771816
95640,1022.435752,932.775679
95641,1022.439527,932.787967
95642,1022.456535,932.772580
95643,1022.460545,932.785995
95644,1022.481958,932.776524
95645,1022.493139,932.764274
95646,1022.494422,932.759287
95647,1022.514371,932.761844
95648,1022.523667,932.774523
95649,1022.535466,932.769750
95650,1022.559487,932.772410
95651,1022.568562,932.771584
95652,1022.570663,932.778243
95653,1022.583109,932.762274
95654,1022.588713,932.772120
95655,1022.601235,932.778469
95656,1022.601289,932.781006
95657,1022.611939,932.779744
95658,1022.627571,932.773656
95659,1022.642292,932.765439
95660,1022.655776,932.775264
95661,1022.670999,932.782699
95662,1022.091804,932.756439
95663,1022.030428,932.757426
95664,1022.049380,932.758226
95665,1022.117741,932.863611
95666,1022.137871,932.863345
95667,1022.127705,932.820701
95668,1022.096115,932.778117
95669,1022.097166,932.768002
95670,1022.116751,932.767307
95671,1022.121450,932.747973
95672,1022.114292,932.757673
95673,1022.130384,932.752424
95674,1022.131556,932.754223
95675,1022.136994,932.762706
95676,1022.168067,932.751405
95677,1022.178962,932.771815
95678,1022.208005,932.783490
95679,1022.217369,932.759434
95680,1022.253175,932.817916
95681,1022.270982,932.809007
95682,1022.267443,932.762515
95683,1022.257110,932.869237
95684,1022.262856,932.848652
95685,1022.264111,932.880985
95706,1022.465177,932.787971
95707,1022.489954,932.777042
95708,1022.493605,932.791933
95709,1022.517170,932.772847
95710,1022.527784,932.762614
95711,1022.530796,932.774542
95715,1022.574193,932.775547
95716,1022.570761,932.780887
95717,1022.584124,932.792907
95718,1022.601998,932.763684
95719,1022.596896,932.785790
95720,1022.604005,932.780809
95721,1022.616169,932.785733
95722,1022.230839,932.816963
95723,1022.168655,932.780071
95724,1022.190290,932.792261
95725,1022.217143,932.819902
95726,1022.242635,932.778535
95727,1022.201869,932.865521
95728,1022.264229,932.791641
95729,1022.254392,932.814086
95730,1022.259075,932.773972
95731,1022.271287,932.785204
95732,1022.280970,932.802072
95733,1022.282337,932.813935
95734,1022.290573,932.863682
95735,1022.219396,932.868412
95736,1022.188173,932.890114
95737,1022.245512,932.891282
95738,1022.339572,932.777722
95739,1022.358275,932.784898
95740,1022.368390,932.791362
95741,1022.376401,932.801679
95742,1022.407156,932.785758
95743,1022.423981,932.784027
95744,1022.438631,932.790348
95745,1022.446291,932.781311
95746,1022.461347,932.793093
95747,1022.466640,932.798144
95748,1022.485554,932.794773
95749,1022.497307,932.785488
95750,1022.513212,932.788635
95751,1022.531680,932.787400
95752,1022.534209,932.794000
95753,1022.538822,932.791309
95754,1022.546052,932.782956
95755,1022.582007,932.793839
95756,1022.597414,932.792960
95757,1022.610767,932.794339
95758,1022.269637,932.774631
95759,1022.108634,932.768786
95760,1022.128372,932.773238
95761,1022.135022,932.774636
95762,1022.164875,932.781212
95763,1022.181557,932.787608
95764,1022.195287,932.889150
95765,1022.164381,932.893163
95766,1022.214932,932.785518
95767,1022.243375,932.771198
95768,1022.215466,932.890625
95769,1022.298425,932.807521
95770,1022.227219,932.871152
95771,1022.248176,932.918886
95772,1022.350782,932.784565
95773,1022.383026,932.809563
95774,1022.412795,932.805421
95775,1022.439812,932.796889
95776,1022.458254,932.796718
95777,1022.477686,932.788558
95778,1022.513649,932.795885
95779,1022.525444,932.796652
95780,1022.567540,932.788734
95781,1022.578871,932.786246
95783,1022.472303,932.796735
95784,1022.496182,932.784997
95785,1022.506912,932.793719
95786,1022.535740,932.789817
95787,1022.546472,932.792855
95788,1022.564509,932.782957
95789,1022.573735,932.779719
95790,1022.588531,932.795663
95791,1022.603907,932.806503
95792,1022.614753,932.803537
95793,1022.633631,932.794417
95794,1022.303846,932.788709
95795,1022.191523,932.868086
95796,1022.251500,932.854209
95797,1022.211957,932.890708
95798,1022.294639,932.830294
95799,1022.263474,932.899956
95800,1022.252415,932.877086
95801,1022.257209,932.873730
95802,1022.322164,932.783880
95803,1022.321244,932.801560
95804,1022.337766,932.789426
95805,1022.387957,932.775559
95806,1022.399246,932.786887
95807,1022.425805,932.797930
95808,1022.449442,932.804212
95809,1022.459375,932.806605
95810,1022.476728,932.804081
95811,1022.506654,932.790273
95812,1022.538529,932.786997
95813,1022.582751,932.808724
95814,1022.588785,932.793233
95815,1022.602085,932.793447
95816,1022.618379,932.793122
95817,1022.633981,932.793964
95818,1022.270749,932.802795
95819,1022.249972,932.803995
95820,1022.208941,932.884786
95821,1022.284395,932.863374
95822,1022.311376,932.786454
95823,1022.329262,932.789329
95824,1022.347677,932.793479
95825,1022.373802,932.802417
95826,1022.415987,932.789722
95827,1022.432876,932.796802
