cadence,x,y
,1,1
95497,-1800.935042,-1618.783935
95498,-1800.962505,-1618.817750
95499,-1800.964583,-1618.826736
95500,-1800.912202,-1618.801348
95501,-1800.947700,-1618.796576
95502,-1800.960455,-1618.777435
95503,-1801.024408,-1618.836157
95504,-1800.988370,-1618.805473
95505,-1800.956181,-1618.792548
95506,-1801.017275,-1618.853637
95507,-1800.969561,-1618.838106
95508,-1801.006444,-1618.842203
95509,-1801.067450,-1618.898564
95510,-1801.025769,-1618.861641
95511,-1801.020052,-1618.866722
95512,-1801.036865,-1618.837096
95513,-1801.061237,-1618.840541
95514,-1801.049883,-1618.891653
95515,-1801.022328,-1618.846019
95516,-1801.025337,-1618.848758
95517,-1800.986926,-1618.835084
95518,-1801.082292,-1618.953517
95519,-1801.042790,-1618.889207
95520,-1801.073608,-1618.947209
95521,-1801.044067,-1618.906305
95522,-1801.018463,-1618.908274
95523,-1801.036778,-1618.925040
95524,-1801.025768,-1618.918300
95525,-1801.374845,-1619.226592
95526,-1801.360704,-1619.242816
95527,-1801.417207,-1619.277051
95528,-1801.210998,-1619.007396
95529,-1801.173557,-1618.987141
95530,-1801.216434,-1618.977098
95531,-1801.074360,-1618.882493
95532,-1800.996975,-1618.878253
95533,-1800.980558,-1618.963364
95534,-1801.074958,-1618.965281
95535,-1801.023230,-1618.954041
95536,-1801.060594,-1618.834219
95537,-1801.054112,-1618.857086
95538,-1801.042136,-1619.061721
95539,-1801.124136,-1619.123439
95540,-1801.132909,-1619.141071
95541,-1801.099782,-1619.133172
95542,-1801.054698,-1619.028077
95543,-1801.116310,-1618.990685
95544,-1801.144121,-1619.071504
95545,-1801.153434,-1619.080572
95546,-1802.114852,-1619.980325
95547,-1802.771719,-1621.419380
95548,-1802.742379,-1621.393438
95549,-1802.755115,-1621.402378
95550,-1802.750144,-1621.416704
95551,-1802.741532,-1621.414403
95552,-1802.748361,-1621.405637
95553,-1802.742561,-1621.410328
95554,-1802.539510,-1621.157939
