cadence,x,y
,1,1
95497,686.793256,804.521783
95498,686.810335,804.536082
95499,686.814941,804.520256
95500,686.822068,804.512566
95501,686.838630,804.501167
95502,686.849569,804.469823
95503,686.859587,804.472728
95504,686.867828,804.465383
95505,686.875256,804.467250
95506,686.878275,804.459598
95507,686.880736,804.457488
95508,686.895386,804.452128
95509,686.894323,804.439545
95510,686.900351,804.438600
95511,686.900241,804.439628
95512,686.925612,804.424043
95513,686.918382,804.427746
95514,686.923226,804.423262
95515,686.933104,804.423516
95516,686.937804,804.416034
95517,686.946387,804.416276
95518,686.949899,804.421119
95519,686.958485,804.412497
95520,686.971216,804.393222
95521,686.996078,804.374992
95522,687.021986,804.360287
95523,687.024694,804.356249
95524,687.026298,804.353133
95525,687.038416,804.350070
95526,687.052342,804.333804
95527,687.079533,804.312038
95528,687.061739,804.315209
95529,687.078806,804.322092
95530,687.105943,804.305903
95531,687.125970,804.286013
95532,687.144158,804.257904
95533,687.157055,804.257548
95534,687.161985,804.258127
95535,687.179741,804.251401
95536,687.186468,804.228881
95537,687.177156,804.249739
95538,687.187432,804.242291
95539,687.193287,804.238673
95540,687.211023,804.228902
95541,687.213128,804.210855
95542,687.219498,804.209763
95543,687.222601,804.199896
95544,687.234775,804.210014
95545,687.237059,804.208255
95546,687.836424,805.153683
95547,688.864365,806.341241
95548,688.876875,806.327583
95549,688.883053,806.333241
95550,688.880079,806.325366
95551,688.881813,806.329545
95552,688.880496,806.332743
95553,688.887914,806.335706
95554,688.134573,806.754987
95555,688.016785,806.830315
95556,688.021641,806.835501
95557,688.012765,806.829361
95558,688.016812,806.835833
95559,688.031907,806.829252
95560,688.033463,806.834689
95561,688.031736,806.831894
95562,688.035085,806.834132
95563,688.023639,806.834788
95564,688.032211,806.837317
95565,688.034231,806.828010
95566,688.041047,806.836154
95567,688.037129,806.833538
95568,688.025325,806.833385
95569,688.024678,806.836320
95570,688.008449,806.846275
95571,688.006783,806.847613
95572,688.018144,806.836257
95573,688.011017,806.839495
95574,688.016784,806.835181
95575,688.017698,806.831281
95576,688.015253,806.835694
95577,688.022897,806.832462
95578,688.015693,806.833890
95579,688.000205,806.844434
95580,688.002604,806.835915
95581,688.000474,806.832539
95582,687.995546,806.839193
95583,687.992619,806.838724
95584,687.991579,806.841960
95585,687.985598,806.839555
95586,687.978734,806.839192
95587,687.981861,806.831821
95588,687.986958,806.835568
95589,687.994414,806.827527
95591,688.337599,806.629560
95592,688.332024,806.662040
95593,688.330698,806.665166
95594,688.325832,806.656024
95595,688.325394,806.659822
95596,688.322446,806.661922
95597,688.319670,806.636174
95598,688.296910,806.671516
95599,688.286044,806.686360
95600,688.268599,806.667974
95601,688.243381,806.680039
95602,688.252268,806.686940
95603,688.232862,806.693839
95604,688.233398,806.678069
95605,688.225816,806.683282
95606,688.213787,806.693277
95607,688.210950,806.690267
95608,688.205463,806.709444
95609,688.197712,806.690949
95610,688.196448,806.705184
95611,688.192009,806.708901
95612,688.173165,806.724291
95613,688.189325,806.713086
95614,688.190792,806.717044
95615,688.180429,806.727652
95616,688.165770,806.716971
95617,688.155355,806.722991
95618,688.152308,806.722101
95619,688.128064,806.735602
95620,688.091516,806.762682
95621,688.059595,806.782342
95622,688.052874,806.788439
95623,688.040432,806.798293
95624,688.025551,806.814181
95625,688.014652,806.815225
95626,688.001044,806.815302
95627,687.992048,806.825206
95628,687.963014,806.838403
95629,687.957273,806.836672
95630,687.945850,806.845935
95631,687.938790,806.850054
95632,687.928415,806.853823
95633,687.927007,806.850358
95634,687.928474,806.860870
95635,687.922202,806.853165
95636,687.902681,806.870454
95637,687.889086,806.874414
95638,687.875216,806.881579
95639,687.862786,806.890599
95640,687.862130,806.897302
95641,687.854005,806.900509
95642,687.840013,806.905765
95643,687.834340,806.908727
95644,687.817405,806.918179
95645,687.808299,806.929597
95646,687.797953,806.925257
95647,687.789183,806.927963
95648,687.776800,806.943438
95649,687.770371,806.950536
95650,687.747355,806.954433
95651,687.737784,806.963362
95652,687.736338,806.964305
95653,687.723809,806.972929
95654,687.717294,806.974900
95655,687.695964,806.975137
95656,687.692508,806.974092
95657,687.679782,806.980217
95658,687.657523,806.994809
95659,687.639487,807.015583
95660,687.632264,807.013928
95661,687.618518,807.019621
95662,688.222463,806.700267
95663,688.296645,806.678952
95664,688.276509,806.693820
95665,688.259873,806.679419
95666,688.243896,806.682054
95667,688.227110,806.708440
95668,688.224296,806.713899
95669,688.222183,806.711434
95670,688.206815,806.721401
95671,688.192910,806.734502
95672,688.190801,806.736518
95673,688.169068,806.735582
95674,688.171248,806.743102
95675,688.160025,806.730735
95676,688.133731,806.755924
95677,688.122629,806.750427
95678,688.104701,806.768273
95679,688.063356,806.793161
95680,688.053501,806.790471
95681,688.026883,806.807466
95682,688.013014,806.815561
95683,687.986327,806.828521
95684,687.976846,806.836482
95685,687.967523,806.835063
95706,687.820794,806.914924
95707,687.808069,806.918310
95708,687.797555,806.921254
95709,687.780042,806.929301
95710,687.769317,806.936483
95711,687.768834,806.940399
95715,687.733965,806.958781
95716,687.732418,806.956604
95717,687.721033,806.959604
95718,687.684532,806.976904
95719,687.696000,806.964603
95720,687.681491,806.968916
95721,687.674384,806.971344
95722,688.071346,806.758058
95723,688.121108,806.728584
95724,688.101987,806.742892
95725,688.076652,806.744704
95726,688.056615,806.776066
95727,688.043528,806.784124
95728,688.032421,806.791689
95729,688.028546,806.788645
95730,688.016038,806.792615
95731,688.011395,806.792059
95732,688.001260,806.804402
95733,688.001497,806.801916
95734,687.984268,806.805193
95735,687.971536,806.819622
95736,687.968140,806.823238
95737,687.952553,806.830833
95738,687.926644,806.838432
95739,687.914404,806.841422
95740,687.907330,806.848667
95741,687.896772,806.850431
95742,687.874246,806.869814
95743,687.862247,806.873536
95744,687.855407,806.885803
95745,687.845062,806.880819
95746,687.831873,806.889038
95747,687.824391,806.909273
95748,687.814013,806.906676
95749,687.799399,806.914469
95750,687.780407,806.916987
95751,687.769900,806.930559
95752,687.768369,806.924933
95753,687.758511,806.928167
95754,687.748836,806.937238
95755,687.723713,806.933766
95756,687.698223,806.943968
95757,687.681871,806.964623
95758,688.018378,806.780307
95759,688.185315,806.688940
95760,688.165584,806.714909
95761,688.159542,806.708721
95762,688.134821,806.735498
95763,688.116495,806.742684
95764,688.077864,806.756771
95765,688.068072,806.766161
95766,688.058609,806.772330
95767,688.037227,806.785342
95768,688.015860,806.789424
95769,687.995119,806.799141
95770,687.967985,806.817011
95771,687.943335,806.824413
95772,687.918239,806.839572
95773,687.896068,806.846743
95774,687.876015,806.860799
95775,687.849730,806.882110
95776,687.832943,806.899780
95777,687.807270,806.905427
95778,687.785601,806.904146
95779,687.769004,806.920661
95780,687.739302,806.935449
95781,687.725763,806.943525
95783,687.808385,806.908618
95784,687.799846,806.914263
95785,687.784508,806.911477
95786,687.763423,806.929897
95787,687.748194,806.930060
95788,687.738830,806.948219
95789,687.727221,806.951941
95790,687.710376,806.948644
95791,687.690419,806.952202
95792,687.673021,806.965136
95793,687.641198,806.982713
95794,687.988495,806.793923
95795,688.037522,806.777483
95796,688.021522,806.786013
95797,688.018056,806.785888
95798,687.998701,806.794146
95799,687.981825,806.794576
95800,687.986063,806.801872
95801,687.972479,806.810798
95802,687.955122,806.816797
95803,687.947694,806.812920
95804,687.922003,806.832539
95805,687.893371,806.855917
95806,687.883973,806.858443
95807,687.864870,806.869193
95808,687.845256,806.876678
95809,687.831019,806.886742
95810,687.814999,806.895472
95811,687.789042,806.902491
95812,687.755633,806.924854
95813,687.722819,806.934301
95814,687.716729,806.944557
95815,687.689312,806.951989
95816,687.663148,806.969694
95817,687.641738,806.976337
95818,688.007994,806.788294
95819,688.048439,806.769597
95820,688.013489,806.793724
95821,687.986812,806.804249
95822,687.962135,806.811495
95823,687.935125,806.824868
95824,687.917650,806.834959
95825,687.898154,806.852020
95826,687.868906,806.872701
95827,687.847685,806.877987
95828,687.832704,806.884660
95829,687.819980,806.897057
95830,687.803495,806.904223
95831,687.787172,806.904763
95832,687.769901,806.913595
95833,687.757941,806.926867
95834,687.727510,806.931334
95835,687.699899,806.943106
95836,687.687301,806.950173
95837,687.660201,806.958844
95838,687.632332,806.965061
95839,687.610380,806.980778
95840,687.570931,806.996478
95841,687.545513,807.015536
95842,687.968788,806.802816
95843,687.999867,806.790559
95844,687.957009,806.815482
95845,687.958390,806.815719
95846,687.930033,806.821814
95847,687.894766,806.839235
95848,687.880396,806.849836
95849,687.872624,806.857894
95850,687.854885,806.877821
95851,687.830272,806.884198
95852,687.819536,806.894371
95853,687.797603,806.901677
95854,687.775183,806.910775
95855,687.759518,806.917439
95856,687.736881,806.922829
95857,687.723685,806.939193
95858,687.688475,806.951637
95859,687.641913,806.968084
95860,687.617566,806.973824
95861,687.593556,806.993966
95862,687.572167,806.997390
95863,687.543686,807.019710
95864,687.512663,807.027946
95865,687.486023,807.061804
95866,687.905621,806.835685
95867,687.930688,806.823811
95868,687.906228,806.828077
95869,687.885221,806.845756
95870,687.865673,806.854899
95871,687.842355,806.880247
95872,687.832896,806.882986
95873,687.809656,806.903625
95874,687.785927,806.905726
95875,687.768884,806.924156
95876,687.750699,806.919564
95877,687.737383,806.925438
95880,688.189744,806.690582
95881,688.165317,806.703236
95882,688.149073,806.702484
95883,688.134384,806.707318
95884,688.122555,806.713036
95885,688.115593,806.727857
95886,688.078426,806.746251
95887,688.063170,806.752275
95888,688.050934,806.763125
