cadence,x,y
,1,1
95497,223.851977,878.380603
95498,223.861149,878.400518
95499,223.852760,878.398128
95500,223.842484,878.393510
95501,223.823579,878.406693
95502,223.804708,878.415096
95503,223.811644,878.407669
95504,223.804655,878.410307
95505,223.799153,878.410436
95506,223.793553,878.411625
95507,223.797395,878.400715
95508,223.784594,878.409561
95509,223.777566,878.410769
95510,223.778687,878.413647
95511,223.777531,878.414705
95512,223.771394,878.421537
95513,223.785357,878.420170
95514,223.796904,878.409671
95515,223.794556,878.409008
95516,223.790329,878.406745
95517,223.775274,878.413407
95518,223.781623,878.408401
95519,223.786597,878.401105
95520,223.782550,878.396325
95521,223.765192,878.408726
95522,223.749195,878.414551
95523,223.748118,878.409362
95524,223.747339,878.408829
95525,223.746749,878.412472
95526,223.735036,878.415457
95527,223.713765,878.421880
95528,223.719051,878.405705
95529,223.731846,878.402241
95530,223.711203,878.416430
95531,223.703327,878.410776
95532,223.691343,878.419322
95533,223.683812,878.418397
95534,223.674768,878.412570
95535,223.660407,878.419506
95536,223.653625,878.416156
95537,223.660509,878.412886
95538,223.651972,878.409807
95539,223.651726,878.412735
95540,223.647386,878.421653
95541,223.639308,878.422230
95542,223.637621,878.418140
95543,223.639410,878.435422
95544,223.642982,878.430599
95545,223.630689,878.430535
95546,224.244293,878.899444
95547,225.747572,879.882132
95548,225.729510,879.903265
95549,225.748268,879.893156
95550,225.744367,879.886907
95551,225.741497,879.891784
95552,225.750808,879.885886
95553,225.751603,879.894631
95554,226.077258,879.772909
95555,226.172596,879.752805
95556,226.178670,879.746220
95557,226.166958,879.745881
95558,226.177794,879.749775
95559,226.170580,879.755441
95560,226.178314,879.759135
95561,226.175038,879.756203
95562,226.172806,879.760760
95563,226.187715,879.756560
95564,226.179193,879.760008
95565,226.172533,879.758616
95566,226.183296,879.769447
95567,226.187703,879.765293
95568,226.184977,879.760568
95569,226.202310,879.757412
95570,226.198118,879.750048
95571,226.197754,879.753644
95572,226.187277,879.754398
95573,226.194565,879.752298
95574,226.188293,879.754595
95575,226.188358,879.755600
95576,226.190816,879.752997
95577,226.186058,879.760001
95578,226.188260,879.755675
95579,226.211898,879.748837
95580,226.195312,879.747731
95581,226.190235,879.750033
95582,226.211523,879.741283
95583,226.188439,879.755047
95584,226.217124,879.747027
95585,226.185659,879.747167
95586,226.223195,879.759135
95587,226.201627,879.746406
95588,226.198597,879.744827
95589,226.180222,879.749902
95591,225.975453,879.799591
95592,225.986427,879.806661
95593,225.988948,879.806054
95594,225.988335,879.808290
95595,225.984865,879.806883
95596,225.995754,879.802011
95597,225.981185,879.803794
95598,226.000925,879.797827
95599,226.013230,879.790146
95600,226.013638,879.786396
95601,226.024083,879.785513
95602,226.034062,879.781996
95603,226.030209,879.770133
95604,226.032782,879.785158
95605,226.031728,879.787070
95606,226.039833,879.785790
95607,226.038884,879.784406
95608,226.047918,879.781588
95609,226.042472,879.785115
95610,226.040811,879.789893
95611,226.052894,879.794786
95612,226.067996,879.776300
95613,226.017968,879.816479
95614,226.048165,879.774542
95615,226.060281,879.788795
95616,226.029353,879.800104
95617,226.073851,879.761419
95618,226.071080,879.763424
95619,226.091080,879.755877
95620,226.099285,879.750622
95621,226.114646,879.742294
95622,226.145830,879.747438
95623,226.162164,879.748697
95624,226.175382,879.738171
95625,226.177096,879.745172
95626,226.177607,879.741987
95627,226.212542,879.738820
95628,226.221577,879.738366
95629,226.219280,879.747817
95630,226.185393,879.736121
95631,226.233365,879.734191
95632,226.240631,879.731965
95633,226.230561,879.739000
95634,226.242278,879.736520
95635,226.239640,879.736655
95636,226.254590,879.718901
95637,226.266320,879.725337
95638,226.268432,879.727949
95639,226.280992,879.723595
95640,226.273196,879.730323
95641,226.277511,879.724287
95642,226.282044,879.716070
95643,226.298978,879.751462
95644,226.298732,879.727655
95645,226.310477,879.726182
95646,226.310184,879.721351
95647,226.302099,879.713201
95648,226.316816,879.733593
95649,226.324239,879.728694
95650,226.324421,879.705257
95651,226.330598,879.708445
95652,226.332732,879.709541
95653,226.335494,879.698226
95654,226.355655,879.717400
95655,226.358585,879.709487
95656,226.342995,879.705325
95657,226.348255,879.700912
95658,226.357327,879.698363
95659,226.369385,879.695029
95660,226.390871,879.700455
95661,226.393472,879.720623
95662,226.047233,879.787120
95663,226.010624,879.802310
95664,226.025118,879.812367
95665,226.027808,879.797957
95666,226.038203,879.792152
95667,226.037265,879.791276
95668,226.063929,879.785746
95669,226.041366,879.806955
95670,226.061511,879.771761
95671,226.072065,879.765742
95672,226.082871,879.769010
95673,226.084683,879.765886
95674,226.090022,879.784101
95675,226.089105,879.778489
95676,226.109367,879.757911
95677,226.109190,879.762152
95678,226.117048,879.755840
95679,226.141802,879.755074
95680,226.181394,879.740362
95681,226.179635,879.745994
95682,226.193353,879.747335
95683,226.212418,879.745883
95684,226.223980,879.744195
95685,226.230708,879.747234
95706,226.290435,879.723886
95707,226.299049,879.718456
95708,226.301024,879.716530
95709,226.302001,879.706289
95710,226.303810,879.696367
95711,226.310020,879.704573
95715,226.328435,879.707350
95716,226.335335,879.712921
95717,226.330553,879.702811
95718,226.352464,879.684954
95719,226.340356,879.703285
95720,226.347176,879.697368
95721,226.350078,879.704079
95722,226.095757,879.746804
95723,226.095648,879.752285
95724,226.098177,879.755732
95725,226.107696,879.750200
95726,226.153211,879.735969
95727,226.157784,879.742124
95728,226.157934,879.733585
95729,226.158242,879.737073
95730,226.172395,879.737899
95731,226.162086,879.741158
95732,226.194347,879.737926
95733,226.181310,879.736401
95734,226.179124,879.732799
95735,226.218834,879.729353
95736,226.217029,879.735525
95737,226.217532,879.732882
95738,226.233062,879.731176
95739,226.235028,879.727663
95740,226.246147,879.729829
95741,226.246031,879.732780
95742,226.253863,879.702217
95743,226.261417,879.710713
95744,226.274617,879.713593
95745,226.278496,879.714305
95746,226.282571,879.716510
95747,226.290574,879.708593
95748,226.292120,879.718994
95749,226.310799,879.708539
95750,226.311381,879.701402
95751,226.300690,879.694678
95752,226.313757,879.705782
95753,226.312668,879.710199
95754,226.324911,879.707463
95755,226.337822,879.690988
95756,226.333979,879.675562
95757,226.334685,879.691524
95758,226.149778,879.742958
95759,226.057352,879.776389
95760,226.073435,879.755292
95761,226.064882,879.761808
95762,226.088549,879.760005
95763,226.099517,879.745868
95764,226.118366,879.748080
95765,226.117295,879.741662
95766,226.135493,879.737317
95767,226.157756,879.737302
95768,226.166737,879.738201
95769,226.170022,879.730669
95770,226.210015,879.725212
95771,226.239187,879.737955
95772,226.244998,879.731661
95773,226.245424,879.721838
95774,226.252872,879.716910
95775,226.274323,879.713157
95776,226.282292,879.712906
95777,226.304889,879.701210
95778,226.288091,879.712549
95779,226.295577,879.698075
95780,226.316026,879.690344
95781,226.330970,879.690844
95783,226.279783,879.719034
95784,226.290951,879.711101
95785,226.290428,879.711244
95786,226.303245,879.701859
95787,226.310197,879.701001
95788,226.329332,879.703507
95789,226.334401,879.704633
95790,226.333613,879.705007
95791,226.335886,879.703691
95792,226.357401,879.700499
95793,226.354502,879.687387
95794,226.174694,879.727788
95795,226.155489,879.727969
95796,226.162565,879.738988
95797,226.172981,879.730511
95798,226.179075,879.720292
95799,226.180683,879.725717
95800,226.182852,879.731125
95801,226.202944,879.732127
95802,226.208603,879.728183
95803,226.206425,879.739098
95804,226.229425,879.725607
95805,226.263598,879.722659
95806,226.251908,879.716844
95807,226.259417,879.714033
95808,226.278470,879.734368
95809,226.276685,879.715534
95810,226.270809,879.710751
95811,226.294395,879.708750
95812,226.297795,879.685489
95813,226.328575,879.674001
95814,226.338156,879.700026
95815,226.336047,879.695704
95816,226.350672,879.691903
95817,226.352048,879.685936
95818,226.157902,879.733578
95819,226.149570,879.742949
95820,226.175197,879.725923
95821,226.180291,879.726739
95822,226.203683,879.729066
95823,226.222084,879.725582
95824,226.233118,879.727275
95825,226.252801,879.726715
95826,226.263203,879.715629
95827,226.275345,879.709926
95828,226.268955,879.709175
95829,226.268621,879.702903
95830,226.286471,879.693695
95831,226.289434,879.691102
95832,226.298609,879.708818
95833,226.315191,879.704394
95834,226.318734,879.694571
95835,226.327486,879.695014
95836,226.337351,879.696226
95837,226.337649,879.695504
95838,226.352026,879.685174
95839,226.366138,879.672428
95840,226.384915,879.662324
95841,226.383604,879.676218
95842,226.206080,879.752842
95843,226.177741,879.721436
95844,226.217414,879.724865
95845,226.209986,879.732846
95846,226.233937,879.754565
95847,226.237856,879.708958
95848,226.246841,879.704691
95849,226.256797,879.712351
95850,226.273673,879.711566
95851,226.293572,879.728006
95852,226.286809,879.719484
95853,226.299684,879.722825
95854,226.316550,879.708718
95855,226.315573,879.686846
95856,226.325311,879.689122
95857,226.328011,879.697000
95858,226.349971,879.686294
95859,226.361393,879.688071
95860,226.355664,879.680140
95861,226.373357,879.670789
95862,226.374377,879.675516
95863,226.390126,879.673141
95864,226.402650,879.665236
95865,226.422705,879.658713
95866,226.229344,879.708179
95867,226.230477,879.718841
95868,226.228718,879.724417
95869,226.246827,879.720627
95870,226.261355,879.713967
95871,226.273661,879.710062
95872,226.275150,879.716802
95873,226.299873,879.708181
95874,226.315561,879.715419
95875,226.321289,879.705198
95876,226.310243,879.697914
95877,226.326247,879.706738
95880,226.054054,879.762678
95881,226.065417,879.781861
95882,226.069183,879.774891
95883,226.064769,879.781035
95884,226.039631,879.742619
95885,226.092245,879.750800
95886,226.103617,879.754125
95887,226.112020,879.743070
95888,226.136414,879.739286
95889,226.139829,879.736954
95890,226.178141,879.728976
95891,226.186064,879.724141
95892,226.217668,879.717907
95893,226.223250,879.717493
95894,226.228250,879.727550
95895,226.229916,879.727112
95896,226.262199,879.721329
95897,226.260629,879.714779
95898,226.258652,879.714745
95899,226.257511,879.714524
95900,226.275590,879.715642
95901,226.292276,879.708138
95902,226.283297,879.711766
95903,226.282121,879.709144
95904,226.287811,879.698200
95905,226.298862,879.703466
95906,226.322267,879.698644
95907,226.330074,879.687608
95908,226.345471,879.685068
95909,226.350852,879.672461
95910,226.353359,879.683273
95911,226.357241,879.676349
95912,226.361698,879.684780
95913,226.364308,879.686692
95914,226.123522,879.740981
95915,226.095502,879.759544
